internalName,title,metacriticLink,dealID,storeID,gameID,salePrice,normalPrice,isOnSale,savings,metacriticScore,steamRatingText,steamRatingPercent,steamRatingCount,steamAppID,releaseDate,lastChange,dealRating,thumb,release_date,release_year,date
SONGSONG,Song Song,/game/song-song/,b37CJIAd6oq7vJUAkdVSJNh62PudZ8oz8QJBuralNx8%3D,1,296375,3.59,17.99,1,80.044469,0,,0,0,3396620,1698969600,1770335868,1.9,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3396620/a95d6d5774e44da88ce0d83f2d37112f737c09b3/capsule_231x87.jpg?t=1735545644,2023-11-03 00:00:00+00:00,2023,11/03/23
LEGOHARRYPOTTERYEARS57,LEGO Harry Potter: Years 5-7,/game/lego-harry-potter-years-5-7/,YpMf78Mii0tZP0%2BsZpGX%2Fjyr4fcQVYlkyk9VKSu2r1o%3D,1,25,3.99,19.99,1,80.040020,80,Very Positive,87,968,204120,1321574400,1770320290,7.9,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/204120/capsule_231x87.jpg?t=1728579650,2011-11-18 00:00:00+00:00,2011,11/18/11
SIDMEIERSCIVILIZATIONIV,Sid Meier's Civilization IV,/game/sid-meiers-civilization-iv/,khSrhkgpaxgOWWEYV9MdKid%2FcDzIGa0zHzvh5j73lLo%3D,1,126,3.99,19.99,1,80.040020,94,Very Positive,92,1860,3900,1130198400,1770320089,9.2,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3900/capsule_231x87.jpg?t=1724341287,2005-10-25 00:00:00+00:00,2005,10/25/05
LEGOHARRYPOTTERYEARS14,LEGO Harry Potter: Years 1-4,/game/lego-harry-potter-years-1-4/,7qrML90E5z7%2Fj%2Fh1zJLX4ChMu57Zd0N%2F4I8WYn%2FWX3c%3D,1,437,3.99,19.99,1,80.040020,79,Very Positive,83,3032,21130,1277424000,1770320059,7.8,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/21130/capsule_231x87.jpg?t=1728579610,2010-06-25 00:00:00+00:00,2010,06/25/10
ELIZABETHFINDMDDIAGNOSISMYSTERYSEASON2,Elizabeth Find M.D. - Diagnosis Mystery - Season 2,/game/elizabeth-find-md-diagnosis-mystery-season-2/,%2BRhf98Fvafl9sfI9lbZzLG7n8bBMFaTaxIWgNA8qYz4%3D,1,486,3.99,19.99,1,80.040020,0,Mostly Positive,70,10,33790,1306800000,1769817388,1.0,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/33790/capsule_231x87.jpg?t=1580944360,2011-05-31 00:00:00+00:00,2011,05/31/11
THEBUREAUXCOMDECLASSIFIED,The Bureau: XCOM Declassified,/game/the-bureau-xcom-declassified/,jU3s4bIunr3oy6BV1xz2rwG7ZKNHMJnCAN%2F3f0Q%2BLQE%3D,1,100437,3.99,19.99,1,80.040020,66,Mixed,64,2870,65930,1376870400,1770321043,7.2,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/65930/capsule_231x87.jpg?t=1587584277,2013-08-19 00:00:00+00:00,2013,08/19/13
ASSAULTANDROIDCACTUS,Assault Android Cactus,/game/assault-android-cactus/,S1KDaeADj6vTmOcgdBltqzQdW0L5GyyC895JCExxsCU%3D,1,101369,3.99,19.99,1,80.040020,79,Very Positive,94,1307,250110,1442966400,1770681386,8.4,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/250110/capsule_231x87.jpg?t=1744898145,2015-09-23 00:00:00+00:00,2015,09/23/15
RISEOFVENICE,Rise of Venice,/game/rise-of-venice/,8aT5%2BeCBJ5Xohjjp1CgCKn%2FrmIlyXqLRbu1iusoPsdU%3D,1,101492,3.99,19.99,1,80.040020,66,Mixed,62,332,227020,1380240000,1770671734,7.8,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/227020/capsule_231x87.jpg?t=1730301519,2013-09-27 00:00:00+00:00,2013,09/27/13
VERDUN,Verdun,/game/pc/verdun,JkKV%2FRz1qO8KWlW980JY9fqqpSEIhwzz2bn7g1qXG5o%3D,1,102415,3.99,19.99,1,80.040020,70,Very Positive,88,17423,242860,1430179200,1770145959,7.1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/242860/64e68542fbe0dd4305fefbb8f6e9ae5e15ff8ac3/capsule_231x87.jpg?t=1769099088,2015-04-28 00:00:00+00:00,2015,04/28/15
TRANSOCEANTHESHIPPINGCOMPANY,TransOcean - The Shipping Company,/game/transocean-the-shipping-company/,HHrYYCU4wPJsOB5SmHoIHT8fXf4qIN44HiDvgaWo5vo%3D,1,124051,3.99,19.99,1,80.040020,0,Mostly Positive,74,810,289930,1411430400,1770325854,5.9,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/289930/capsule_231x87.jpg?t=1768874724,2014-09-23 00:00:00+00:00,2014,09/23/14
